date,animal,egg size
20190221,015,5.601
20190221,015,2.695
20190221,015,6.314
20190221,015,2.475
20190221,015,7.559
20190221,015,1.295
20190221,015,16.365
20190221,015,8.102
20190221,015,11.518
20190221,015,8.413
20190221,015,11.838
20190221,015,1.563
20190221,015,11.714
20190221,015,10.096
20190221,015,15.213
20190221,015,15.943
20190221,015,11.027
20190221,015,12.059
20190221,015,9.198
20190221,015,2.851
20190221,015,9.88
20190221,015,9.007
20190221,015,4.572
20190221,015,12.786
20190221,015,7.65
20190221,015,2.906
20190221,015,2.166
20190221,015,5.984
20190221,015,2.403
20190221,015,3.533
20190221,015,4.301
20190221,015,5.479
20190221,015,11.745
20190221,015,8.306
20190221,015,6.668
20190221,015,9.593
20190221,015,3.777
20190221,015,12.99
20190221,015,1.951
20190221,015,9.184
20190221,015,3.502
20190221,015,1.695
20190221,015,8.571
20190221,015,5.16
20190221,015,7.848
20190221,015,22.255
20190221,015,1.517
20190221,015,2.834
20190221,015,10.886
20190221,015,4.871
20190221,015,10.603
20190221,015,1.216
20190221,015,5.845
20190221,015,1.843
20190221,015,16.623
20190221,015,2.762
20190221,015,14.964
20190221,015,4.052
20190221,015,10.946
20190221,015,6.817
20190221,015,4.383
20190221,015,6.97
20190221,015,3.571
20190221,015,6.017
20190221,015,9.419
20190221,015,3.71
20190221,015,18.926
20190221,015,29.699
20190221,015,10.579
20190221,015,12.521
20190221,015,4.49
20190221,015,8.006
20190221,015,5.383
20190221,015,5.761
20190221,015,9.787
20190221,015,19.474
20190221,015,20.752
20190221,015,8.71
20190221,015,22.334
20190221,015,12.817
20190221,015,7.291
20190221,015,6.24
20190221,015,8.653
20190221,015,5.658
20190221,015,1.75
20190221,015,23.825
20190221,015,21.051
20190221,015,15.879
20190221,015,12.911
20190221,015,3.945
20190221,015,3.246
20190221,015,26.298
20190221,015,14.28
20190221,015,24.503
20190221,015,13.303
20190221,015,11.812
20190221,015,14.691
20190221,015,11.836
20190221,015,9.404
20190221,015,16.041
20190221,015,8.923
20190221,015,3.291
20190221,015,5.56
20190221,015,12.324
20190221,015,6.692
20190221,015,11.745
20190221,015,6.173
20190221,015,9.627
20190221,015,6.936
20190221,015,14.182
20190221,015,5.297
20190221,015,4.833
20190221,015,10.67
20190221,015,6.089
20190221,015,6.13
20190221,015,7.762
20190221,015,8.478
20190221,015,5.756
20190221,015,11.135
20190221,015,5.596
20190221,015,9.447
20190221,015,6.855
20190221,015,6.53
20190221,015,18.287
20190221,015,12.65
20190221,015,11.963
20190221,015,9.711
20190221,015,3.684
20190221,015,3.763
20190221,015,6.486
20190221,015,9.78
20190221,015,11.135
20190221,015,7.994
20190221,015,6.417
20190221,015,16.053
20190221,015,24.661
20190221,015,9.459
20190221,015,4.902
20190221,015,14.282
20190221,015,3.298
20190221,015,12.59
20190221,015,11.386
20190221,015,14.972
20190221,015,13.61
20190221,015,13.648
20190221,015,12.585
20190221,015,4.787
20190221,015,4.332
20190221,015,3.478
20190221,015,6.699
20190221,015,3.518
20190221,015,12.202
20190221,015,16.192
20190221,015,14.885
20190221,015,14.294
20190221,015,17.959
20190221,015,8.15
20190221,015,12.592
20190221,015,7.372
20190221,015,13.375
20190221,015,15.737
20190221,015,16.348
20190221,015,16.743
20190221,015,8.023
20190221,015,13.801
20190221,015,3.918
20190221,015,3.595
20190221,015,5.474
20190221,015,6.417
20190221,015,6.427
20190221,015,10.716
20190221,015,9.701
20190221,015,12.772
20190221,015,20.687
20190221,015,11.245
20190221,015,7.576
20190221,015,7.99
20190221,015,11.467
20190221,015,4.512
20190221,015,17.523
20190221,015,8.607
20190221,015,12.188
20190221,015,16.549
20190221,015,10.828
20190221,015,10.426
20190221,015,9.897
20190221,015,9.615
20190221,015,9.462
20190221,015,11.008
20190221,015,31.324
20190221,015,5.285
20190221,015,4.27
20190221,015,5.934
