"Date","Tank","Treatment","Salinity","Temperature","pH","CO2","pCO2","HCO3","CO3","DIC","TA","Aragonite.Sat"
20181205,"20181205_TANK1","low",29.7,9.39,6.88867199036037,287.309360021899,6247.54262786043,2114.41502182289,8.59240660980571,2410.31678845459,2135.632801,0.132358542839785
20181205,"20181205_TANK1","low",29.7,9.39,6.88867199036037,287.692198425897,6255.86766641498,2117.23247013812,8.60385595218965,2413.52852451621,2138.473148,0.132534909990832
20181205,"20181205_TANK2","low",29.77,9.4,6.85648829137156,310.140413052553,6749.00194296722,2121.56859509952,8.02322305585209,2439.73223120793,2141.351622,0.123575410290262
20181205,"20181205_TANK2","low",29.77,9.4,6.85648829137156,310.238248055188,6751.13100170932,2122.23785218552,8.02575401285019,2440.50185425356,2142.025941,0.123614392635298
20181205,"20181205_TANK3","amb",29.77,9.38,7.64329734933765,47.7938404443482,1039.32663259978,2000.1121205715,46.260744769853,2094.16670578571,2115.362531,0.71248808307355
20181205,"20181205_TANK3","amb",29.77,9.38,7.64329734933765,47.8075614139453,1039.62501061259,2000.68632589466,46.2740256082754,2094.76791291688,2115.963298,0.712692628831649
20181205,"20181205_TANK4","amb",29.77,9.41,7.66438791194491,45.2590925224435,985.194371401374,1989.83392387924,48.3703813172385,2083.46339771892,2110.385734,0.745026678146948
20181205,"20181205_TANK4","amb",29.77,9.41,7.66438791194491,45.3055142388408,986.204877793945,1991.87487302214,48.4199942457882,2085.60038150677,2112.525909,0.745790843207135
20181205,"20181205_TANK5","low-variable",29.79,9.36,7.24212226841218,133.473899818103,2900.9428814927,2217.03276603368,20.3533198113606,2370.85998566315,2267.049647,0.313446855986868
20181205,"20181205_TANK5","low-variable",29.79,9.36,7.24212226841218,133.673855861192,2905.28881052626,2220.35408278474,20.3838109358332,2374.41174958176,2270.431946,0.313916427889144
20181205,"20181205_TANK6","amb",29.79,9.27,7.59626324634477,54.5014809122805,1180.96796055948,2041.31277226738,42.2057450746113,2138.01999825427,2146.195689,0.649858782538783
20181205,"20181205_TANK6","amb",29.79,9.27,7.59626324634477,54.3735342171126,1178.19552776857,2036.52062316163,42.1066636274836,2133.00082100623,2141.205377,0.648333185763064
20181212,"20181212_TANK1","low",28.93,9.87,7.68260241095193,41.6531195611016,916.265766266249,1914.72928430497,48.3644446817324,2004.7468485478,2035.587127,0.746913605478437
20181212,"20181212_TANK1","low",28.93,9.87,7.68260241095193,41.6992370773262,917.2802416108,1916.84923497769,48.4179928453707,2006.96646490039,2037.814174,0.747740573558666
